                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.96662,                0.48182,                 1.0181,                0.57889,                0.75727,                0.64863,                0.42965,                  1.185,                0.52537,                  1.214,               0.003961,               0.003961,               0.003961
                     63,                0.95929,                0.48012,                 1.0206,                0.59748,                0.75396,                0.65045,                0.42849,                 1.1857,                0.52459,                 1.2146,               0.003862,               0.003862,               0.003862
                     64,                0.95434,                0.47423,                  1.018,                0.61697,                0.75256,                0.64945,                0.42779,                 1.1869,                0.52403,                 1.2166,               0.003763,               0.003763,               0.003763
                     65,                0.94995,                0.47016,                 1.0124,                0.61937,                0.73917,                 0.6496,                0.42721,                 1.1869,                0.52514,                 1.2165,               0.003664,               0.003664,               0.003664
                     66,                 0.9459,                0.47174,                 1.0126,                0.63226,                0.73161,                0.65091,                0.42911,                 1.1886,                0.52516,                 1.2188,               0.003565,               0.003565,               0.003565
                     67,                0.94004,                0.46214,                 1.0087,                0.62799,                0.73119,                0.65111,                0.42921,                 1.1884,                0.52586,                 1.2195,               0.003466,               0.003466,               0.003466
                     68,                0.93207,                0.46125,                 1.0045,                0.62195,                0.73399,                0.65072,                0.42946,                 1.1891,                0.52535,                 1.2211,               0.003367,               0.003367,               0.003367
                     69,                0.93209,                 0.4593,                 1.0065,                0.61085,                0.74058,                0.64761,                0.42923,                 1.1892,                  0.525,                 1.2221,               0.003268,               0.003268,               0.003268
                     70,                0.92239,                0.45195,                0.99898,                0.61276,                0.74047,                0.64795,                0.42931,                 1.1901,                0.52456,                 1.2238,               0.003169,               0.003169,               0.003169
                     71,                0.91646,                0.45211,                0.99672,                0.61161,                0.73739,                0.64795,                0.43477,                 1.1903,                0.52457,                 1.2249,                0.00307,                0.00307,                0.00307
                     72,                0.91183,                0.44715,                0.99281,                0.61381,                0.74452,                0.64787,                0.42876,                 1.1906,                0.52468,                 1.2259,               0.002971,               0.002971,               0.002971
                     73,                0.90512,                0.44228,                0.98817,                0.59603,                0.74765,                0.64747,                0.42759,                 1.1917,                 0.5251,                 1.2272,               0.002872,               0.002872,               0.002872
                     74,                0.90142,                0.44023,                0.99172,                 0.6029,                 0.7411,                0.64743,                0.42738,                 1.1922,                0.52538,                 1.2286,               0.002773,               0.002773,               0.002773
                     75,                 0.8996,                0.43755,                0.99313,                0.59519,                0.74167,                0.64731,                0.42761,                 1.1927,                0.52532,                   1.23,               0.002674,               0.002674,               0.002674
                     76,                0.88685,                0.43195,                0.98558,                0.58774,                0.74177,                0.64726,                0.42741,                 1.1934,                0.52511,                 1.2316,               0.002575,               0.002575,               0.002575
                     77,                0.88346,                0.42858,                0.98227,                0.59527,                0.74204,                0.64627,                0.42747,                 1.1946,                0.52531,                 1.2336,               0.002476,               0.002476,               0.002476
                     78,                0.87836,                0.42832,                0.97754,                0.58913,                0.74416,                0.64672,                0.42855,                  1.195,                0.52574,                 1.2347,               0.002377,               0.002377,               0.002377
                     79,                0.87367,                0.42607,                0.97586,                0.57252,                0.75794,                0.62698,                0.41385,                  1.196,                0.52578,                 1.2362,               0.002278,               0.002278,               0.002278
                     80,                0.86575,                0.42192,                0.97193,                0.57096,                0.76211,                 0.6268,                0.41399,                 1.1965,                0.52633,                 1.2373,               0.002179,               0.002179,               0.002179
                     81,                0.86192,                0.41831,                0.96997,                0.56653,                0.76166,                0.62612,                 0.4141,                 1.1975,                0.52668,                 1.2388,                0.00208,                0.00208,                0.00208
