                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.0685,                0.57659,                 1.0157,                0.74728,                0.56478,                0.71805,                0.44092,                 1.1785,                 0.5392,                 1.0994,               0.004357,               0.004357,               0.004357
                     59,                 1.0573,                 0.5669,                 1.0137,                0.71878,                0.58208,                0.72397,                0.45575,                 1.1793,                0.53884,                 1.0998,               0.004258,               0.004258,               0.004258
                     60,                  1.051,                0.55926,                  1.013,                0.76591,                0.55829,                0.72792,                0.46885,                 1.1793,                0.53913,                 1.1007,               0.004159,               0.004159,               0.004159
                     61,                  1.051,                0.56117,                 1.0119,                0.75833,                0.55996,                0.72667,                0.46654,                 1.1797,                0.53871,                 1.1015,                0.00406,                0.00406,                0.00406
                     62,                  1.046,                0.55381,                 1.0053,                0.59125,                0.78896,                0.72204,                0.46609,                 1.1803,                0.53809,                 1.1017,               0.003961,               0.003961,               0.003961
                     63,                  1.043,                0.55138,                 1.0082,                0.62469,                0.77282,                0.72463,                0.45336,                 1.1814,                0.53785,                 1.1022,               0.003862,               0.003862,               0.003862
                     64,                 1.0406,                0.54967,                 1.0074,                 0.6421,                0.75449,                0.72545,                0.45286,                 1.1823,                0.53675,                 1.1026,               0.003763,               0.003763,               0.003763
                     65,                 1.0332,                0.54472,                 1.0041,                  0.646,                0.75372,                0.72291,                0.46475,                 1.1825,                0.53674,                 1.1036,               0.003664,               0.003664,               0.003664
                     66,                  1.032,                0.54695,                 1.0013,                0.67604,                0.73343,                0.72085,                0.46456,                  1.183,                0.53623,                 1.1039,               0.003565,               0.003565,               0.003565
                     67,                 1.0244,                0.53625,                0.99803,                0.68324,                0.72291,                0.72097,                0.46444,                 1.1843,                 0.5357,                 1.1049,               0.003466,               0.003466,               0.003466
                     68,                 1.0225,                  0.536,                0.99864,                0.68371,                0.72082,                0.71968,                0.46281,                 1.1849,                0.53582,                 1.1052,               0.003367,               0.003367,               0.003367
                     69,                 1.0218,                0.53376,                0.99711,                0.67291,                0.72646,                 0.7206,                0.46394,                 1.1863,                0.53656,                 1.1059,               0.003268,               0.003268,               0.003268
                     70,                 1.0133,                 0.5261,                0.99604,                0.66928,                0.73373,                0.71928,                0.46241,                 1.1873,                0.53676,                 1.1068,               0.003169,               0.003169,               0.003169
