                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.1555,                0.66474,                 1.1249,                0.58279,                0.57057,                0.60498,                0.38433,                 1.1749,                0.57674,                 1.1784,               0.004555,               0.004555,               0.004555
                     57,                   1.16,                 0.6656,                 1.1246,                0.58343,                0.56646,                0.61754,                0.38466,                 1.1745,                0.57599,                 1.1781,               0.004456,               0.004456,               0.004456
                     58,                 1.1575,                0.66029,                 1.1211,                0.60199,                0.55526,                0.61732,                0.38266,                 1.1754,                0.57528,                 1.1792,               0.004357,               0.004357,               0.004357
                     59,                 1.1468,                0.65732,                 1.1167,                0.56303,                0.67503,                0.62822,                0.38394,                 1.1766,                0.57405,                 1.1805,               0.004258,               0.004258,               0.004258
                     60,                 1.1448,                0.65063,                 1.1172,                0.58256,                0.57613,                0.61472,                0.38054,                 1.1771,                0.57388,                 1.1802,               0.004159,               0.004159,               0.004159
                     61,                 1.1449,                 0.6514,                 1.1165,                0.57324,                0.57432,                0.60346,                0.38049,                 1.1769,                0.57253,                 1.1802,                0.00406,                0.00406,                0.00406
                     62,                 1.1444,                0.64833,                  1.112,                0.58646,                0.56684,                0.60393,                0.38017,                 1.1771,                0.57152,                 1.1807,               0.003961,               0.003961,               0.003961
                     63,                 1.1412,                0.64675,                 1.1197,                0.58793,                0.57143,                 0.5997,                0.38186,                 1.1774,                0.57114,                 1.1813,               0.003862,               0.003862,               0.003862
                     64,                 1.1393,                0.64126,                 1.1155,                0.60375,                 0.5633,                0.60364,                0.38331,                 1.1774,                0.56994,                 1.1817,               0.003763,               0.003763,               0.003763
                     65,                 1.1348,                0.63792,                 1.1133,                0.60847,                0.56723,                0.60737,                0.38318,                 1.1779,                0.56995,                 1.1824,               0.003664,               0.003664,               0.003664
                     66,                 1.1372,                0.64291,                  1.114,                0.61293,                0.55255,                0.61104,                0.38448,                 1.1777,                0.57029,                 1.1825,               0.003565,               0.003565,               0.003565
                     67,                 1.1306,                0.63254,                 1.1099,                0.60602,                0.56415,                0.60932,                0.38423,                 1.1779,                0.56955,                 1.1827,               0.003466,               0.003466,               0.003466
                     68,                 1.1283,                0.63381,                 1.1106,                0.61219,                0.56036,                 0.6036,                0.38425,                 1.1784,                0.57001,                 1.1828,               0.003367,               0.003367,               0.003367
                     69,                 1.1292,                 0.6311,                 1.1099,                0.60722,                0.56109,                0.58672,                0.38288,                 1.1786,                0.56951,                  1.183,               0.003268,               0.003268,               0.003268
                     70,                 1.1235,                0.62519,                 1.1072,                0.60972,                0.55913,                0.58663,                0.38342,                 1.1787,                0.56817,                  1.183,               0.003169,               0.003169,               0.003169
